ISCO_version,major,major_label,sub_major,sub_major_label,minor,minor_label,unit,description
ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators
ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials
ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1113,Traditional Chiefs and Heads of Villages
ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special-interest Organizations
ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives
ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers
ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1212,Human Resource Managers
ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers
ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1219,Business Services and Administration Managers Not Elsewhere Classified
ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers
ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relations Managers
ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1223,Research and Development Managers
ISCO-08,1,Managers,13,Production and Specialized Services Managers,131,"Production Managers in Agriculture, Forestry and Fisheries",1311,Agricultural and Forestry Production Managers
ISCO-08,1,Managers,13,Production and Specialized Services Managers,131,"Production Managers in Agriculture, Forestry and Fisheries",1312,Aquaculture and Fisheries Production Managers
ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1321,Manufacturing Managers
ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1322,Mining Managers
ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1323,Construction Managers
